,Date Time, Monitor ID, Location ID, NO2(ppm),data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp
138,2021-08-19 13:39:00,1,1,0.040999999999999995,34.31,43.454,942.685,75.563,70.141,87.634,553.0,2628.0,2046.0,1237.0,0.016,-0.016,-0.064,256.0,65280.0,64512.0,406.76,0.016,105.653,120.251,120.541,120.591,120.623,15.104,15.972,15.973,15.973,0.539,48.0,-963.0,0.0,50.0,3558.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,25.914,,-46.0,4.0,17.439,78.363,4.1,1629360548412.0
140,2021-08-19 13:41:00,1,1,0.053,34.23,42.668,939.798,77.138,72.424,83.678,558.0,2582.0,2066.0,1228.0,0.08,-0.112,-0.048,1280.0,63744.0,64768.0,32.492,0.039,154.281,175.597,176.02,176.092,176.139,22.055,23.323,23.323,23.323,0.467,51.0,-1020.0,0.0,50.0,3552.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,25.914,,-46.0,4.0,17.439,78.363,4.1,1629360697584.0
143,2021-08-19 13:44:00,1,1,0.052000000000000005,34.12,43.314,939.793,74.112,71.431,85.849,570.0,2571.0,2102.0,1220.0,0.112,0.096,-0.096,1792.0,1536.0,64000.0,466.164,0.265,70.919,80.718,80.912,80.945,80.967,10.138,10.721,10.721,10.721,0.522,43.0,-864.0,0.0,50.0,3560.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,25.914,,-46.0,4.0,17.439,78.363,4.1,1629360885552.0
144,2021-08-19 13:45:00,1,1,0.031,34.06,43.125,939.93,76.381,71.662,84.024,548.0,2539.0,2032.0,1207.0,0.08,0.0,-0.016,1280.0,0.0,65280.0,475.281,0.334,75.24,85.636,85.842,85.877,85.9,10.756,11.374,11.374,11.374,0.538,19.0,-374.0,0.0,50.0,3558.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,30.585,2147483647.0,-36.0,4.0,17.457,78.384,1.8,1629360941147.0
145,2021-08-19 13:46:00,1,1,0.067,33.88,44.02,941.21,79.454,75.583,85.825,570.0,2585.0,2098.0,1225.0,0.096,0.064,-0.048,1536.0,1024.0,64768.0,70.489,0.332,76.382,87.084,87.395,87.452,87.479,10.951,11.678,11.756,11.772,0.577,18.0,-360.0,0.0,49.0,3543.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.929,,-36.0,4.0,17.459,78.385,1.6,1629360999584.0
147,2021-08-19 13:48:00,1,1,0.032,33.6,43.677,941.187,77.808,72.629,83.178,520.0,2442.0,1959.0,1182.0,0.0,0.0,-0.048,0.0,0.0,64768.0,458.458,0.194,60.157,69.732,70.759,70.964,71.008,8.873,10.205,10.87,11.003,0.577,14.0,-278.0,0.0,49.0,3555.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.929,,-36.0,4.0,17.459,78.385,1.6,1629361097710.0
148,2021-08-19 13:49:00,1,1,0.052000000000000005,33.53,45.43,940.333,78.584,71.408,85.226,523.0,2535.0,1969.0,1208.0,-0.128,-0.048,-0.064,63488.0,64768.0,64512.0,332.995,0.318,192.851,220.024,220.911,221.076,221.145,27.683,29.617,29.894,29.95,0.547,100.0,-2003.0,0.0,49.0,3555.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.929,,-36.0,4.0,17.459,78.385,1.6,1629361198765.0
151,2021-08-19 13:52:00,1,1,0.045,33.36,45.122,940.635,76.167,72.951,80.409,616.0,2735.0,2235.0,1271.0,-0.032,0.016,0.064,65024.0,256.0,1024.0,115.722,0.31,136.749,156.349,157.205,157.369,157.425,19.702,21.293,21.665,21.74,0.546,91.0,-1806.0,0.0,49.0,3556.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.929,,-36.0,4.0,17.459,78.385,1.6,1629361330729.0
153,2021-08-19 13:54:00,1,1,0.083,33.32,45.238,938.983,75.606,69.521,83.178,615.0,2639.0,2226.0,1246.0,-0.016,0.0,-0.032,65280.0,0.0,65024.0,99.684,0.078,175.801,200.091,200.572,200.655,200.709,25.132,26.576,26.576,26.576,0.505,135.0,-2701.0,0.0,49.0,3550.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.929,,-36.0,4.0,17.459,78.385,1.6,1629361468469.0
156,2021-08-19 13:57:00,1,1,0.06,33.46,44.561,939.541,78.121,73.904,87.355,625.0,2700.0,2254.0,1253.0,-0.032,0.08,-0.08,65024.0,1280.0,64256.0,94.12,0.071,241.155,274.474,275.134,275.248,275.322,34.474,36.455,36.455,36.455,0.47,89.0,-1772.0,0.0,49.0,3535.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.929,,-36.0,4.0,17.459,78.385,1.6,1629361626237.0
159,2021-08-19 14:00:00,1,1,0.046,33.74,44.674,941.477,75.416,72.59,78.94,698.0,2853.0,2453.0,1306.0,-0.032,0.0,-0.08,65024.0,0.0,64256.0,81.835,0.241,143.114,162.888,163.279,163.347,163.391,20.459,21.635,21.635,21.635,0.514,81.0,-1619.0,0.0,48.0,3529.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.929,,-36.0,4.0,17.459,78.385,1.6,1629361842298.0
161,2021-08-19 14:02:00,1,1,0.046,33.96,44.039,942.693,76.055,72.164,85.615,667.0,2903.0,2364.0,1316.0,-0.048,-0.064,0.016,64768.0,64512.0,256.0,97.58,0.187,196.884,224.086,224.625,224.718,224.778,28.146,29.763,29.763,29.763,0.504,65.0,-1299.0,0.0,48.0,3535.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.929,,-36.0,4.0,17.459,78.385,1.6,1629361977503.0
168,2021-08-19 14:09:00,1,1,0.03,34.42,44.022,944.448,71.851,68.266,77.279,566.0,2767.0,2083.0,1274.0,-0.048,0.016,-0.064,64768.0,256.0,64512.0,162.672,0.218,80.405,91.515,91.735,91.772,91.797,11.494,12.155,12.155,12.155,0.52,73.0,-1460.0,0.0,48.0,3539.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.929,,-36.0,4.0,17.459,78.385,1.6,1629362342943.0
191,2021-08-19 14:32:00,1,1,0.077,33.58,44.549,942.034,78.147,67.01,86.621,533.0,2539.0,1994.0,1214.0,-0.08,-0.048,-0.08,64256.0,64768.0,64256.0,365.762,0.357,68.701,78.193,78.381,78.413,78.434,9.821,10.386,10.385,10.386,0.511,4.0,-80.0,0.0,46.0,3507.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.929,,-41.0,4.0,17.459,78.385,1.6,1629363776379.0
192,2021-08-19 14:33:00,1,1,0.055,33.46,45.132,940.949,77.97,72.569,84.222,542.0,2546.0,2016.0,1210.5,-0.032,0.016,0.064,65024.0,256.0,1024.0,445.159,0.298,105.959,120.599,120.889,120.939,120.971,15.147,16.018,16.018,16.018,0.527,0.0,364.5,0.0,46.0,3513.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,32.884,-71.0,-37.5,4.0,17.47,78.389,2.95,1629363822687.0
193,2021-08-19 14:34:00,1,1,0.044000000000000004,33.24,45.498,941.347,74.328,68.611,83.028,528.0,2539.0,1982.0,1211.0,-0.032,-0.112,0.112,65024.0,63744.0,1792.0,473.064,0.126,86.365,98.314,98.561,98.604,98.631,12.35,13.07,13.078,13.08,0.557,0.0,707.0,0.0,46.0,3507.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.842,,-40.0,4.0,17.471,78.387,2.3,1629363869584.0
195,2021-08-19 14:36:00,1,1,0.052000000000000005,32.91,46.106,941.491,76.243,67.088,83.987,573.0,2582.0,2107.0,1220.0,-0.032,-0.08,-0.256,65024.0,64256.0,61440.0,478.392,0.257,81.304,93.61,94.564,94.753,94.799,11.855,13.234,13.798,13.911,0.604,76.0,-1511.0,0.0,46.0,3519.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.842,,-40.0,4.0,17.471,78.387,2.3,1629363981376.0
196,2021-08-19 14:37:00,1,1,0.051,32.77,46.176,941.42,77.001,74.261,84.091,503.0,2407.0,1903.0,1167.0,0.0,-0.032,-0.032,0.0,65024.0,65024.0,653.809,0.715,69.959,81.198,82.463,82.716,82.769,10.341,11.958,12.787,12.952,0.64,57.0,-1136.0,0.0,46.0,3508.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.842,,-40.0,4.0,17.471,78.387,2.3,1629364075017.0
198,2021-08-19 14:39:00,1,1,0.033,32.65,46.37,940.968,76.623,71.245,91.569,511.0,2475.0,1935.0,1194.0,0.016,0.0,-0.112,256.0,0.0,63744.0,736.992,0.078,86.361,101.571,104.043,104.543,104.635,13.054,15.936,17.661,18.007,0.608,72.0,-1434.0,0.0,46.0,3491.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.842,,-40.0,4.0,17.471,78.387,2.3,1629364182630.0
200,2021-08-19 14:41:00,1,1,0.063,32.43,46.82,941.705,75.055,71.115,81.487,517.0,2471.0,1945.0,1201.0,-0.032,-0.048,0.0,65024.0,64768.0,0.0,666.021,0.502,82.054,95.826,97.711,98.091,98.165,12.256,14.544,15.826,16.082,0.67,51.0,-1027.0,0.0,46.0,3523.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.842,,-40.0,4.0,17.471,78.387,2.3,1629364311275.0
202,2021-08-19 14:43:00,1,1,0.061,32.64,46.998,941.614,74.198,68.917,81.782,629.0,2717.0,2268.0,1262.0,-0.096,0.016,0.096,64000.0,256.0,1536.0,592.674,0.395,91.866,113.383,119.653,120.934,121.14,15.039,21.643,26.289,27.218,0.727,117.0,-2327.0,0.0,46.0,3517.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.842,,-40.0,4.0,17.471,78.387,2.3,1629364414406.0
206,2021-08-19 14:47:00,1,1,0.031,32.97,45.482,939.783,73.97,69.275,79.661,556.0,2517.0,2061.0,1211.0,-0.08,0.048,-0.08,64256.0,768.0,64256.0,337.828,0.457,64.748,74.665,75.505,75.672,75.711,9.466,10.642,11.153,11.255,0.601,174.0,-3473.0,0.0,46.0,3506.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,28.842,,-40.0,4.0,17.471,78.387,2.3,1629364647175.0
207,2021-08-19 14:48:00,1,1,0.035,33.03,45.053,939.982,76.881,69.046,87.356,506.0,2464.0,1922.0,1188.0,0.16,0.192,0.08,2560.0,3072.0,1280.0,207.498,0.078,54.565,63.022,63.798,63.952,63.987,7.999,9.055,9.539,9.635,0.605,59.0,-1170.0,0.0,46.0,3500.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,31.564,-73.0,-33.0,4.0,17.455,78.382,3.4,1629364712994.0
208,2021-08-19 14:49:00,1,1,0.04,32.89,45.233,940.028,76.942,69.609,86.244,507.0,2446.0,1924.0,1187.0,-0.112,0.048,0.096,63744.0,768.0,1536.0,463.399,0.148,94.997,108.632,109.24,109.356,109.396,13.69,14.809,15.078,15.131,0.583,0.0,875.0,0.0,45.0,3500.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,33.567,,-33.0,4.0,17.454,78.38,1.9,1629364775546.0
210,2021-08-19 14:51:00,1,1,0.055,32.8,45.26,938.734,73.978,68.288,83.677,507.0,2446.0,1921.0,1183.0,-0.08,0.0,0.096,64256.0,0.0,1536.0,237.277,0.241,79.198,90.849,91.549,91.686,91.724,11.475,12.595,12.968,13.042,0.566,14.0,-287.0,0.0,45.0,3498.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,33.567,,-33.0,4.0,17.454,78.38,1.9,1629364865077.0
212,2021-08-19 14:53:00,1,1,0.045,32.58,46.436,937.499,74.171,69.79,77.577,508.0,2446.0,1912.0,1182.0,0.032,-0.032,-0.016,512.0,65024.0,65280.0,289.258,0.287,63.229,72.406,72.881,72.972,73.0,9.134,9.946,10.179,10.225,0.562,30.0,-598.0,0.0,45.0,3509.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,33.567,,-33.0,4.0,17.454,78.38,1.9,1629365003866.0
213,2021-08-19 14:54:00,1,1,0.061,32.6,46.208,938.106,80.217,77.312,83.508,528.0,2446.0,1986.0,1180.0,-0.096,-0.096,-0.144,64000.0,64000.0,63232.0,411.04,0.418,119.149,137.453,139.036,139.351,139.424,17.431,19.631,20.601,20.795,0.584,72.0,-1435.0,0.0,45.0,3509.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,33.567,,-33.0,4.0,17.454,78.38,1.9,1629365098985.0
215,2021-08-19 14:56:00,1,1,0.061,32.19,47.145,941.792,73.645,70.283,78.183,542.0,2492.0,2023.0,1205.0,0.032,0.0,0.064,512.0,0.0,1024.0,161.423,0.233,75.209,86.113,86.669,86.776,86.809,10.862,11.82,12.09,12.144,0.582,64.0,-1269.0,0.0,45.0,3485.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,33.567,,-33.0,4.0,17.454,78.38,1.9,1629365217101.0
219,2021-08-19 15:00:00,1,1,0.055,32.34,47.1,939.787,71.993,70.701,73.649,542.0,2539.0,2013.0,1214.0,0.032,-0.048,-0.064,512.0,64768.0,64512.0,263.228,0.554,136.029,154.823,155.195,155.259,155.301,19.446,20.563,20.563,20.563,0.499,113.0,-2251.0,0.0,45.0,3477.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,33.567,,-33.0,4.0,17.454,78.38,1.9,1629365431194.0
223,2021-08-19 15:04:00,1,1,0.045,33.23,45.691,939.461,66.697,62.687,71.495,543.0,2639.0,2018.0,1242.0,-0.048,-0.032,0.0,64768.0,65024.0,0.0,211.182,0.078,99.568,113.659,114.159,114.252,114.29,14.306,15.345,15.521,15.556,0.541,100.0,-1997.0,0.0,44.0,3486.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,33.567,,-33.0,4.0,17.454,78.38,1.9,1629365667744.0
225,2021-08-19 15:06:00,1,1,0.035,33.34,45.399,938.573,72.683,66.645,78.728,557.0,2671.0,2065.0,1244.0,0.0,-0.016,0.0,0.0,65280.0,0.0,320.247,0.156,129.36,147.233,147.587,147.648,147.687,18.493,19.555,19.555,19.555,0.493,57.0,-1137.0,0.0,44.0,3485.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,33.567,,-33.0,4.0,17.454,78.38,1.9,1629365799514.0
310,2021-08-19 16:31:00,1,1,0.019,33.08,45.839,937.151,58.77,53.515,68.79,458.0,2362.0,1784.5,1165.0,0.008,0.016,-0.064,128.0,256.0,64512.0,304.331,0.176,49.052,56.065,56.361,56.417,56.436,7.063,7.623,7.747,7.772,0.558,24.0,-475.5,0.0,50.0,3555.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,34.382,-81.0,-49.5,4.0,17.46,78.334,1.35,1629370877815.5
311,2021-08-19 16:32:00,1,1,0.017,33.195,45.529,937.166,60.233,53.692,69.173,465.0,2410.5,1798.5,1173.0,0.0,-0.008,0.048,32768.0,32640.0,768.0,301.071,0.194,48.438,55.434,55.773,55.838,55.859,6.99,7.589,7.749,7.781,0.561,21.5,-424.5,0.0,50.0,3561.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,34.521,-77.0,-51.5,4.0,17.46,78.334,1.45,1629370943492.5
314,2021-08-19 16:35:00,1,1,0.018000000000000002,33.34,45.143,937.156,62.487,52.834,76.633,464.0,2375.0,1802.0,1166.0,0.112,0.032,0.176,1792.0,512.0,2816.0,252.3,0.226,48.833,55.724,55.956,55.999,56.017,7.012,7.509,7.585,7.6,0.573,30.0,-604.0,0.0,51.0,3566.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-55.0,4.0,17.46,78.334,1.4,1629371139317.0
317,2021-08-19 16:38:00,1,1,0.016,33.69,44.632,937.173,61.459,53.55,71.737,469.0,2414.0,1816.0,1180.0,-0.016,-0.032,0.0,65280.0,65024.0,0.0,253.501,0.365,51.166,56.433,56.753,56.814,56.834,7.113,7.698,7.84,7.869,0.576,43.0,-855.0,0.0,51.0,3583.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-49.0,4.0,17.46,78.334,1.4,1629371304772.0
323,2021-08-19 16:44:00,1,1,0.017,33.7,44.839,937.226,52.434,50.985,55.314,480.0,2528.0,1842.0,1204.0,0.016,-0.016,0.032,256.0,65280.0,512.0,106.434,0.601,55.522,63.5,63.861,63.93,63.953,8.003,8.663,8.824,8.856,0.58,39.0,-784.0,0.0,53.0,3587.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-49.0,4.0,17.46,78.334,1.4,1629371646429.0
325,2021-08-19 16:46:00,1,1,0.019,33.72,44.648,937.355,64.79,52.222,72.906,472.0,2371.0,1826.0,1170.0,-0.016,-0.048,0.064,65280.0,64768.0,1024.0,228.641,0.156,56.18,64.43,64.917,65.012,65.039,8.137,8.922,9.179,9.23,0.618,0.0,31.0,0.0,53.0,3531.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-59.0,4.0,17.46,78.334,1.4,1629371813828.0
326,2021-08-19 16:47:00,1,1,0.015,33.195,45.759,937.404,55.881,50.199,69.694,482.5,2548.0,1850.5,1213.0,0.024,0.016,-0.088,384.0,256.0,64128.0,262.418,0.148,55.319,61.215,61.73,61.83,61.858,7.738,8.534,8.818,8.875,0.581,8.0,279.0,0.0,51.5,3516.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-38.5,4.0,17.46,78.334,1.4,1629371860537.0
332,2021-08-19 16:53:00,1,1,0.016,30.86,51.006,937.505,50.029,48.669,51.581,462.0,2275.0,1793.0,1134.0,-0.016,0.016,0.0,65280.0,256.0,0.0,2005.325,0.789,48.097,55.073,55.429,55.498,55.52,6.947,7.561,7.735,7.77,0.595,0.0,478.0,0.0,46.0,3499.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-52.0,4.0,17.46,78.334,1.4,1629372209426.0
336,2021-08-19 16:57:00,1,1,0.018000000000000002,30.21,52.099,937.539,54.45,48.24,61.613,459.0,2253.0,1788.0,1138.0,0.0,0.0,-0.032,0.0,0.0,65024.0,637.014,0.187,52.012,59.598,60.013,60.093,60.117,7.522,8.214,8.425,8.467,0.597,23.0,-450.0,0.0,45.0,3505.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-52.0,4.0,17.46,78.334,1.4,1629372458861.0
340,2021-08-19 17:01:00,1,1,0.0,29.92,52.918,937.555,52.861,49.284,62.454,457.0,2235.0,1778.0,1126.0,0.032,0.0,-0.08,512.0,0.0,64256.0,436.536,0.632,53.3,61.053,61.463,61.543,61.567,7.703,8.399,8.603,8.644,0.58,30.0,-590.0,0.0,45.0,3492.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-50.0,4.0,17.46,78.334,1.4,1629372683847.0
341,2021-08-19 17:02:00,1,1,0.021,29.95,52.824,937.585,53.035,48.184,61.174,467.0,2374.5,1807.0,1161.5,0.04,-0.016,-0.016,640.0,65280.0,32512.0,55.879,0.187,54.57,62.311,62.598,62.652,62.673,7.845,8.427,8.533,8.554,0.564,33.5,-663.5,0.0,44.0,3499.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-54.5,4.0,17.46,78.334,1.4,1629372751896.0
345,2021-08-19 17:06:00,1,1,0.018000000000000002,29.98,53.548,937.573,60.171,51.309,70.509,452.0,2217.0,1765.0,1122.0,0.016,0.016,-0.016,256.0,256.0,65280.0,629.259,0.457,48.488,55.346,55.586,55.631,55.649,6.966,7.469,7.552,7.569,0.583,30.0,-601.0,0.0,44.0,3494.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-53.0,4.0,17.46,78.334,1.4,1629372979601.0
346,2021-08-19 17:07:00,1,1,0.016,29.73,53.891,937.547,58.74,50.363,66.769,446.0,2128.0,1749.0,1088.0,0.0,-0.016,-0.096,0.0,65280.0,64000.0,1040.844,0.549,51.238,58.581,58.901,58.962,58.983,7.382,7.977,8.116,8.143,0.595,0.0,1857.0,0.0,44.0,3484.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-36.0,4.0,17.46,78.334,1.4,1629373026793.0
348,2021-08-19 17:09:00,1,1,0.016,29.11,55.506,937.551,57.553,51.026,67.686,449.0,2153.0,1761.0,1107.0,-0.064,-0.016,-0.064,64512.0,65280.0,64512.0,2069.731,0.758,57.546,65.931,66.385,66.473,66.499,8.32,9.081,9.31,9.355,0.596,0.0,931.0,0.0,44.0,3492.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,35.353,,-36.0,4.0,17.46,78.334,1.4,1629373152779.0
