created_at, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),CO_1,SO2_1,CO_2,SO2_2,Temperature,RH,Pressure
2021-11-05 12:17:00,1,1, ,0.057,0.058,59.789,16.0,13.842,1.895,33.886,44.488,943.934
2021-11-05 12:18:00,1,1, ,0.048,0.046,64.0,16.0,16.0,2.25,34.374,43.468,943.962
2021-11-05 12:38:00,1,1, ,0.086,0.066,48.0,16.0,17.0,1.167,32.595,44.534,943.904
2021-11-05 12:39:00,1,1, ,0.053,0.053,53.6,16.0,16.4,3.45,34.482,41.796,943.919
2021-11-05 12:40:00,1,1, ,0.056,0.051,64.0,-16.842,22.158,6.105,34.572,41.297,943.234
2021-11-05 12:41:00,1,1, ,0.069,0.052,78.4,-42.4,32.0,5.4,35.05,40.747,943.2
2021-11-05 12:42:00,1,1, ,0.096,0.077,84.0,-16.0,37.9,6.4,36.82,38.234,943.676
2021-11-05 12:43:00,1,1, ,0.077,0.072,104.0,16.0,42.95,8.9,40.858,32.145,943.976
2021-11-05 12:44:00,1,1, ,0.051,0.045,124.0,16.0,50.9,6.1,43.304,28.716,944.094
2021-11-05 12:45:00,1,1, ,0.082,0.072,140.0,16.0,52.5,4.05,44.747,26.809,944.103
2021-11-05 12:46:00,1,1, ,0.061,0.048,128.0,-16.842,47.842,-2.737,43.924,27.489,944.074
2021-11-05 12:47:00,1,1, ,0.071,0.051,121.263,17.684,50.684,-1.105,40.633,31.307,944.28
2021-11-05 12:48:00,1,1, ,0.052,0.050,112.0,-48.0,56.158,-0.947,39.469,32.793,944.915
2021-11-05 12:49:00,1,1, ,0.085,0.071,95.059,-60.235,54.471,-4.412,35.545,38.392,945.031
2021-11-05 12:50:00,1,1, ,0.079,0.046,79.111,-18.667,44.389,-7.5,33.232,43.593,946.721
2021-11-05 12:51:00,1,1, ,0.077,0.050,78.933,16.0,41.467,-4.133,33.797,42.309,946.419
2021-11-05 12:52:00,1,1, ,0.054,0.042,80.0,16.0,39.053,-3.947,33.471,43.15,947.943
2021-11-05 12:53:00,1,1, ,0.127,0.051,83.2,-48.8,38.2,-0.9,35.107,40.91,948.851
2021-11-05 12:54:00,1,1, ,0.689,0.241,80.842,16.842,38.947,-0.105,34.275,42.059,949.256
2021-11-05 12:55:00,1,1, ,0.739,0.246,83.368,-37.895,35.368,2.0,34.971,40.746,949.396
2021-11-05 12:56:00,1,1, ,0.137,0.065,96.0,-15.158,45.632,4.474,34.829,41.121,949.079
2021-11-05 12:57:00,1,1, ,0.582,0.188,96.0,16.0,37.882,0.412,35.15,40.14,948.177
2021-11-05 12:58:00,1,1, ,0.269,0.098,103.579,16.0,42.421,4.316,37.602,36.285,948.247
2021-11-05 12:59:00,1,1, ,0.227,0.082,128.0,16.0,50.684,2.947,38.988,33.754,948.319
2021-11-05 13:00:00,1,1, ,0.048,0.046,141.333,16.0,53.222,1.833,39.654,33.068,948.372
2021-11-05 13:01:00,1,1, ,0.081,0.047,144.0,16.0,50.789,-1.842,38.448,34.333,948.307
2021-11-05 13:02:00,1,1, ,0.076,0.046,149.895,16.0,48.368,-0.632,39.289,33.509,948.324
2021-11-05 13:03:00,1,1, ,0.090,0.077,165.053,16.0,49.526,1.263,39.717,33.159,948.324
2021-11-05 13:04:00,1,1, ,0.085,0.087,150.737,16.842,53.053,0.895,37.951,35.303,948.511
2021-11-05 13:05:00,1,1, ,0.098,0.052,134.222,17.778,54.667,0.278,38.049,35.402,948.344
2021-11-05 13:06:00,1,1, ,0.122,0.051,113.684,16.0,47.368,-2.842,35.743,38.838,948.485
2021-11-05 13:07:00,1,1, ,0.061,0.045,100.444,-80.0,38.0,-3.389,36.537,37.934,948.159
2021-11-05 13:08:00,1,1, ,0.049,0.041,104.889,16.0,37.444,-0.722,35.961,38.54,947.199
2021-11-05 13:09:00,1,1, ,0.041,0.040,96.0,16.0,39.947,-4.684,34.877,40.789,947.396
2021-11-05 13:10:00,1,1, ,0.117,0.052,96.0,16.0,39.778,-0.778,36.177,38.306,948.924
2021-11-05 13:11:00,1,1, ,0.208,0.076,112.889,17.778,43.278,3.056,38.313,35.235,949.73
2021-11-05 13:12:00,1,1, ,0.307,0.097,116.211,16.0,44.316,3.053,38.363,35.197,950.125
2021-11-05 13:13:00,1,1, ,0.243,0.081,128.0,16.0,37.25,4.75,39.827,33.23,950.281
2021-11-05 13:14:00,1,1, ,0.105,0.078,145.882,16.0,32.0,3.941,39.405,33.158,950.333
2021-11-05 13:15:00,1,1, ,0.131,0.085,163.368,-17.684,43.632,6.316,41.471,30.8,950.309
2021-11-05 13:16:00,1,1, ,0.125,0.060,138.105,16.0,59.263,-2.211,38.134,35.05,950.668
2021-11-05 13:17:00,1,1, ,0.136,0.078,122.667,-16.0,59.889,-3.278,37.594,35.344,950.142
2021-11-05 13:18:00,1,1, ,0.059,0.051,112.889,-124.444,55.0,-0.944,37.516,35.054,949.92
2021-11-05 13:19:00,1,1, ,0.064,0.046,112.0,-118.737,54.158,-0.053,36.388,36.01,949.623
2021-11-05 13:20:00,1,1, ,0.071,0.050,112.0,-18.667,53.222,2.778,37.022,36.005,949.297
2021-11-05 13:21:00,1,1, ,0.119,0.053,106.105,16.0,52.263,3.895,36.527,36.941,949.362
2021-11-05 13:22:00,1,1, ,0.110,0.055,96.0,16.889,48.556,3.222,35.865,37.904,949.511
2021-11-05 13:23:00,1,1, ,0.124,0.080,106.105,16.0,48.947,6.684,37.366,35.835,949.66
2021-11-05 13:24:00,1,1, ,0.127,0.086,112.0,-16.889,37.611,4.278,36.259,38.31,950.116
2021-11-05 13:25:00,1,1, ,0.087,0.050,112.0,-17.684,35.526,4.737,36.064,40.206,950.241
2021-11-05 13:26:00,1,1, ,0.090,0.053,113.778,16.0,32.722,3.333,36.525,38.451,950.174
2021-11-05 13:27:00,1,1, ,0.128,0.061,140.444,16.0,24.111,6.0,39.013,34.767,950.192
2021-11-05 13:28:00,1,1, ,0.096,0.084,144.0,16.0,38.053,5.053,39.292,33.98,950.418
2021-11-05 13:29:00,1,1, ,0.044,0.040,144.0,-54.222,43.833,4.056,38.735,35.082,950.743
2021-11-05 13:30:00,1,1, ,0.050,0.039,130.526,-48.842,46.316,0.789,36.835,37.347,950.509
2021-11-05 13:31:00,1,1, ,0.038,0.038,112.0,16.0,41.333,-2.333,36.801,37.273,950.515
2021-11-05 13:32:00,1,1, ,0.048,0.040,128.941,18.824,31.353,3.294,39.963,32.738,950.846
2021-11-05 13:33:00,1,1, ,0.041,0.039,149.333,16.0,32.889,6.389,41.253,31.017,951.11
2021-11-05 13:34:00,1,1, ,0.053,0.045,141.6,-46.4,37.05,3.1,39.338,33.026,951.215
2021-11-05 13:35:00,1,1, ,0.062,0.061,114.824,16.0,45.529,-1.353,35.864,38.88,951.239
2021-11-05 13:36:00,1,1, ,0.067,0.059,112.0,16.842,41.947,1.737,37.003,37.771,951.285
2021-11-05 13:37:00,1,1, ,0.053,0.039,114.667,16.0,33.611,2.833,37.054,37.352,951.599
2021-11-05 13:38:00,1,1, ,0.114,0.050,112.0,-16.842,33.421,0.421,36.518,37.953,952.082
2021-11-05 13:39:00,1,1, ,0.094,0.046,112.0,19.368,38.0,0.316,36.198,38.078,952.502
2021-11-05 13:40:00,1,1, ,0.111,0.095,112.0,16.0,42.556,1.667,36.191,37.839,952.645
2021-11-05 13:41:00,1,1, ,0.262,0.079,111.158,16.0,45.947,2.947,36.365,37.329,953.057
2021-11-05 13:42:00,1,1, ,0.318,0.183,110.222,-68.444,39.944,3.056,35.983,38.703,952.92
2021-11-05 13:43:00,1,1, ,0.103,0.061,103.529,-18.824,33.647,1.412,35.356,39.528,952.736
2021-11-05 13:44:00,1,1, ,0.075,0.059,98.526,16.0,33.263,2.474,35.915,38.718,952.32
2021-11-05 13:45:00,1,1, ,0.049,0.043,96.842,20.211,34.737,1.211,35.947,38.044,951.811
2021-11-05 13:46:00,1,1, ,0.144,0.069,96.0,-20.444,37.0,1.222,35.651,38.32,952.23
2021-11-05 13:47:00,1,1, ,0.120,0.054,109.474,18.526,39.421,6.842,37.371,35.741,951.707
2021-11-05 13:48:00,1,1, ,0.128,0.060,112.0,16.889,45.611,7.111,37.516,35.719,951.992
2021-11-05 13:49:00,1,1, ,0.094,0.063,112.0,17.684,46.211,3.842,37.449,36.216,952.074
2021-11-05 13:50:00,1,1, ,0.187,0.070,112.0,16.0,45.889,4.944,37.98,35.53,952.077
2021-11-05 13:51:00,1,1, ,0.050,0.043,112.0,16.0,48.579,4.053,37.412,36.108,952.556
2021-11-05 13:52:00,1,1, ,0.093,0.055,106.353,16.0,45.176,1.059,36.571,37.223,952.465
2021-11-05 13:53:00,1,1, ,0.189,0.190,98.667,17.778,37.333,0.444,36.726,37.13,952.348
2021-11-05 13:54:00,1,1, ,0.078,0.047,112.0,16.0,32.947,3.947,38.353,34.522,952.311
2021-11-05 13:55:00,1,1, ,0.058,0.048,128.0,16.0,28.389,4.222,40.635,31.337,952.391
2021-11-05 13:56:00,1,1, ,0.079,0.071,150.222,16.0,31.0,2.778,42.801,28.548,952.443
2021-11-05 13:57:00,1,1, ,0.098,0.049,157.474,16.0,40.211,6.737,42.534,28.139,952.572
2021-11-05 13:58:00,1,1, ,0.066,0.044,133.895,-221.474,49.632,3.158,37.637,34.698,952.148
2021-11-05 13:59:00,1,1, ,0.082,0.043,128.0,-73.263,40.947,2.737,39.12,32.679,951.983
2021-11-05 14:00:00,1,1, ,0.043,0.038,125.474,-46.316,39.421,4.737,39.157,32.554,951.872
2021-11-05 14:01:00,1,1, ,0.188,0.056,128.0,-90.667,38.222,4.833,39.024,32.763,951.09
2021-11-05 14:02:00,1,1, ,0.633,0.113,105.263,16.0,35.842,-0.105,35.073,38.758,950.058
2021-11-05 15:22:00,1,1, ,0.070,0.050,42.667,16.0,9.0,2.667,29.425,52.107,949.903
2021-11-05 15:23:00,1,1, ,0.135,0.105,48.0,16.0,9.615,2.077,29.42,50.839,949.927
2021-11-05 15:26:00,1,1, ,0.063,0.040,48.0,16.0,10.5,3.0,30.79,47.505,949.952
2021-11-05 15:27:00,1,1, ,0.068,0.041,48.0,16.0,12.5,2.611,30.584,47.585,949.657
2021-11-05 15:28:00,1,1, ,0.051,0.044,48.0,16.0,16.941,2.118,30.526,47.686,948.915
2021-11-05 15:29:00,1,1, ,0.150,0.125,48.0,17.778,17.389,1.444,30.593,47.265,948.078
2021-11-05 15:30:00,1,1, ,0.104,0.067,48.0,16.0,16.684,1.579,30.328,47.488,948.26
2021-11-05 15:31:00,1,1, ,0.175,0.131,48.0,-51.368,15.316,1.421,30.296,48.448,948.97
2021-11-05 15:32:00,1,1, ,0.215,0.219,48.0,16.0,14.625,0.875,30.082,48.759,948.462
2021-11-05 15:33:00,1,1, ,0.113,0.088,48.0,16.0,14.294,1.0,30.064,48.882,947.437
2021-11-05 15:34:00,1,1, ,0.098,0.067,48.0,16.0,16.222,2.0,30.184,48.714,947.791
2021-11-05 15:35:00,1,1, ,0.092,0.065,48.0,-20.444,16.333,1.333,30.452,48.183,947.901
2021-11-05 15:36:00,1,1, ,0.082,0.055,48.0,-19.765,16.059,2.294,31.846,45.337,947.28
2021-11-05 15:37:00,1,1, ,0.095,0.062,48.0,16.941,16.882,2.706,31.442,45.97,945.87
2021-11-05 15:38:00,1,1, ,0.114,0.072,50.526,16.842,16.474,3.053,32.1,44.548,946.017
2021-11-05 15:39:00,1,1, ,0.076,0.049,56.471,-247.529,18.824,3.882,32.734,43.108,946.679
2021-11-05 15:40:00,1,1, ,0.313,0.318,61.474,-50.526,22.842,3.0,32.944,42.403,947.331
2021-11-05 15:41:00,1,1, ,0.095,0.055,63.158,16.842,22.684,0.842,32.12,43.962,947.086
2021-11-05 15:42:00,1,1, ,0.088,0.052,64.0,16.889,20.5,3.722,31.857,44.776,946.851
2021-11-05 15:43:00,1,1, ,0.083,0.047,64.0,16.0,20.579,3.579,32.225,44.129,946.447
2021-11-05 15:44:00,1,1, ,0.126,0.055,62.316,16.0,19.158,1.789,32.263,43.378,946.463
2021-11-05 15:45:00,1,1, ,0.118,0.054,64.0,16.889,18.444,3.167,32.715,42.779,946.129
2021-11-05 15:46:00,1,1, ,0.261,0.081,64.0,-54.222,20.111,4.667,32.678,43.172,946.343
2021-11-05 15:47:00,1,1, ,0.881,0.175,61.333,16.0,18.111,2.556,32.019,44.296,947.645
2021-11-05 15:48:00,1,1, ,0.522,0.162,62.933,-24.533,18.867,2.667,32.066,44.339,947.227
2021-11-05 15:49:00,1,1, ,0.452,0.177,58.947,-49.684,20.842,3.316,31.212,45.836,947.676
2021-11-05 15:50:00,1,1, ,0.717,0.181,51.556,-17.778,22.333,1.889,30.775,45.789,947.553
2021-11-05 15:51:00,1,1, ,0.359,0.113,51.556,16.0,21.167,1.722,31.762,45.214,949.337
2021-11-05 15:52:00,1,1, ,0.313,0.106,53.053,-117.895,20.526,3.0,32.635,44.156,949.725
2021-11-05 15:53:00,1,1, ,0.304,0.135,64.0,16.0,22.056,3.611,32.893,44.266,949.702
2021-11-05 15:54:00,1,1, ,0.213,0.095,64.0,19.368,25.105,2.947,32.306,45.211,949.191
2021-11-05 15:55:00,1,1, ,0.388,0.158,64.0,19.765,27.824,2.941,31.891,45.616,949.675
2021-11-05 15:56:00,1,1, ,0.180,0.083,64.0,-18.667,27.444,2.611,31.749,45.877,950.341
2021-11-05 15:57:00,1,1, ,0.788,0.389,64.0,16.0,25.75,1.75,31.595,45.642,950.795
2021-11-05 15:58:00,1,1, ,0.506,0.143,64.0,-85.895,28.526,1.947,31.671,45.413,951.691
2021-11-05 15:59:00,1,1, ,1.290,0.335,64.0,16.0,28.684,2.0,31.967,44.935,951.992
2021-11-05 16:00:00,1,1, ,0.345,0.165,64.0,16.0,25.842,1.632,32.042,44.658,951.986
2021-11-05 16:01:00,1,1, ,0.318,0.130,64.0,16.0,24.556,3.111,32.301,44.016,951.99
2021-11-05 16:02:00,1,1, ,0.451,0.122,66.526,-186.105,27.842,4.579,32.795,43.76,952.051
2021-11-05 16:03:00,1,1, ,0.227,0.130,78.222,16.0,37.111,3.167,33.03,42.943,952.124
2021-11-05 16:04:00,1,1, ,0.522,0.138,69.895,16.0,33.737,0.579,32.805,43.531,952.222
2021-11-05 16:05:00,1,1, ,0.213,0.108,65.684,16.0,28.789,1.895,32.686,43.479,952.17
2021-11-05 16:06:00,1,1, ,0.181,0.108,64.0,16.889,28.333,1.278,32.516,43.847,952.204
2021-11-05 16:07:00,1,1, ,0.132,0.086,65.684,16.0,29.158,1.421,32.887,44.196,952.202
2021-11-05 16:08:00,1,1, ,0.303,0.180,80.0,16.0,32.263,2.526,32.784,45.11,952.075
2021-11-05 16:09:00,1,1, ,0.214,0.111,74.947,16.0,29.789,1.474,32.206,44.495,951.708
2021-11-05 16:10:00,1,1, ,0.220,0.130,64.0,16.0,24.947,1.632,32.192,44.574,951.538
