,Date Time, Monitor ID, Location ID, CO(ppm),data.temp_c,data.hum_prcnt,data.press_hpa,data.eq_db,data.onesmin_db,data.onesmax_db,data.co_ppm,data.no2_ppb,data.co_mv,data.no2_mv,data.x_g,data.y_g,data.z_g,data.x_raw,data.y_raw,data.z_raw,data.lux_lx,data.uv_mwpm2,data.nc0p5_npcm3,data.nc1p0_npcm3,data.nc2p5_npcm3,data.nc4p0_npcm3,data.nc10p0_npcm3,data.mc1p0_ugpm3,data.mc2p5_ugpm3,data.mc4p0_ugpm3,data.mc10p0_ugpm3,data.typ_pm_um,data.ozone_ppm,data.ozone_volt_mv,data.tvoc_ppb,data.batt_prcnt,data.batt_volt,data.bme280_int,data.speco3_int,data.mic_int,data.mic4514_int,data.mic4514pre_int,data.sgpc3_int,data.sps30_int,data.sps30pre_int,data.lis3dh_int,data.si1133_int,data.batt_int,data.leds_on,data.code_version,data.gps_avg_snr,data.cell_strength_dbm,data.wifi_strength_dbm,data.wifi_strength_asl,data.location.lat,data.location.lon,data.location.acc,data.timestamp,Unnamed: 0,Unnamed: 0.1,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2,2021-09-16 17:56:00,1,1,4.36,30.41,51.707,937.623,55.425,49.062,61.811,494.0,0.0,1887.0,448.0,-0.016,0.0,0.032,65280.0,0.0,512.0,34.713,0.585,48.77,55.991,56.524,56.627,56.65,7.086,7.877,8.188,8.25,0.63,0.0,1604.0,0.0,100.0,4217.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-52.0,4.0,17.445,78.35,14.991,1631795166624.0,232455.0,232455.0,1631795166624.0,30.41,51.707,937.623,0.0,1604.0,494.0,1887.0,0.0,448.0,0.0,7.877,7.086,8.188,8.25,48.77,55.991,56.524,56.627,56.65,0.63,-0.016,0.0,0.032,65280.0,0.0,512.0,55.425,49.062,61.811,34.713,0.585,4217.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631794816611.0,17.445,78.35,14.991,103.229,0.0,45.282,0.103,0.0,0.0,37.9,2.174,5.435,1.891,4.726,1.0
6,2021-09-16 18:00:00,1,1,0.0,30.4,51.732,937.7,53.692,48.732,60.474,497.0,0.0,1888.0,450.0,0.0,0.032,0.096,0.0,512.0,1536.0,33.878,0.426,41.827,47.924,48.316,48.391,48.409,6.056,6.672,6.889,6.933,0.613,0.0,1769.0,0.0,100.0,4217.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-40.0,4.0,17.445,78.35,14.991,1631795414681.0,232468.0,232468.0,1631795414681.0,30.4,51.732,937.7,0.0,1769.0,497.0,1888.0,0.0,450.0,0.0,6.672,6.056,6.889,6.933,41.827,47.924,48.316,48.391,48.409,0.613,0.0,0.032,0.096,0.0,512.0,1536.0,53.692,48.732,60.474,33.878,0.426,4217.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795063682.0,17.445,78.35,14.991,102.77,0.0,45.287,0.103,0.0,0.0,37.9,1.842,4.604,1.601,4.003,1.0
7,2021-09-16 18:01:00,1,1,0.0,30.42,47.386,937.741,59.878,42.308,79.338,545.0,0.0,2023.0,476.0,0.032,0.0,0.016,512.0,0.0,256.0,231.125,0.249,88.16,100.171,100.429,100.472,100.494,12.584,13.334,13.355,13.36,0.539,0.0,1092.0,0.0,100.0,4163.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-44.0,4.0,17.445,78.35,20.0,1631795497201.0,232471.0,232471.0,1631795497201.0,30.42,47.386,937.741,0.0,1092.0,545.0,2023.0,0.0,476.0,0.0,13.334,12.584,13.355,13.36,88.16,100.171,100.429,100.472,100.494,0.539,0.032,0.0,0.016,512.0,0.0,256.0,59.878,42.308,79.338,231.125,0.249,4163.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795154181.0,17.445,78.35,20.0,95.033,0.0,45.381,0.095,0.0,0.0,54.8,3.68,9.2,3.2,8.0,1.0
8,2021-09-16 18:02:00,1,1,0.0,30.32,47.376,937.735,61.991,47.298,74.946,546.0,0.0,2032.0,485.0,0.016,-0.032,0.112,256.0,65024.0,1792.0,167.235,0.525,81.073,92.081,92.292,92.326,92.346,11.564,12.229,12.229,12.229,0.515,0.0,702.0,0.0,100.0,4167.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-37.0,4.0,17.445,78.35,15.218,1631795528012.0,232474.0,232474.0,1631795528012.0,30.32,47.376,937.735,0.0,702.0,546.0,2032.0,0.0,485.0,0.0,12.229,11.564,12.229,12.229,81.073,92.081,92.292,92.326,92.346,0.515,0.016,-0.032,0.112,256.0,65024.0,1792.0,61.991,47.298,74.946,167.235,0.525,4167.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795176013.0,17.445,78.35,15.218,95.33,0.0,45.43,0.095,0.0,0.0,53.0,3.375,8.438,2.935,7.337,1.0
9,2021-09-16 18:03:00,1,1,0.0,30.39,45.892,937.784,56.57,51.352,65.799,546.0,0.0,2031.0,486.0,-0.016,-0.008,-0.064,32512.0,32640.0,64512.0,97.827,0.475,72.65,82.514,82.703,82.734,82.751,10.363,10.958,10.958,10.958,0.538,0.0,2094.0,0.0,100.0,4171.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-38.0,4.0,17.445,78.35,17.451,1631795616306.0,232481.5,232481.5,1631795616306.0,30.39,45.892,937.784,0.0,2094.0,546.0,2031.0,0.0,486.0,0.0,10.958,10.363,10.958,10.958,72.65,82.514,82.703,82.734,82.751,0.538,-0.016,-0.008,-0.064,32512.0,32640.0,64512.0,56.57,51.352,65.799,97.827,0.475,4171.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795264550.0,17.445,78.35,17.451,95.142,0.0,45.431,0.095,0.0,0.0,50.0,3.024,7.561,2.63,6.575,1.0
14,2021-09-16 18:08:00,1,1,0.0,30.98,40.64,937.798,58.019,49.922,71.553,586.0,178.0,2141.0,552.0,0.0,0.0,-0.112,0.0,0.0,63744.0,63.766,0.287,103.224,117.238,117.508,117.552,117.576,14.724,15.57,15.57,15.57,0.476,0.0,4454.0,0.0,99.0,4161.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-36.0,4.0,17.445,78.35,14.901,1631795926599.0,232497.0,232497.0,1631795926599.0,30.98,40.64,937.798,0.0,4454.0,586.0,2141.0,178.0,552.0,0.0,15.57,14.724,15.57,15.57,103.224,117.238,117.508,117.552,117.576,0.476,0.0,0.0,-0.112,0.0,0.0,63744.0,58.019,49.922,71.553,63.766,0.287,4161.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795575101.0,17.445,78.35,14.901,86.183,5.264,45.269,0.086,0.343,0.0,58.7,4.297,10.743,3.737,9.342,1.0
15,2021-09-16 18:09:00,1,1,0.0,31.05,38.375,937.841,58.91,49.003,71.461,566.667,55.667,2085.667,512.333,0.021,-0.016,-0.021,341.333,43434.667,43349.333,69.509,0.782,79.356,90.13,90.337,90.37,90.39,11.319,11.97,11.97,11.97,0.513,0.0,3900.333,0.0,98.667,4154.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-40.0,4.0,17.445,78.35,15.724,1631795975892.667,232500.667,232500.667,1631795975892.667,31.05,38.375,937.841,0.0,3900.333,566.667,2085.667,55.667,512.333,0.0,11.97,11.319,11.97,11.97,79.356,90.13,90.337,90.37,90.39,0.513,0.021,-0.016,-0.021,341.333,43434.667,43349.333,58.91,49.003,71.461,69.509,0.782,4154.0,98.667,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795744917.0,17.445,78.35,15.724,89.307,1.486,45.289,0.089,0.143,0.0,52.5,3.304,8.259,2.873,7.182,1.0
16,2021-09-16 18:10:00,1,1,0.0,31.05,37.592,937.837,53.27,48.757,60.081,562.5,21.0,2078.0,505.0,0.008,-0.016,-0.04,32896.0,65280.0,64896.0,66.276,0.429,78.853,89.559,89.765,89.798,89.817,11.248,11.894,11.894,11.894,0.522,0.0,5303.0,0.0,99.0,4150.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-46.5,4.0,17.445,78.35,35.036,1631796035809.5,232505.0,232505.0,1631796035809.5,31.05,37.592,937.837,0.0,5303.0,562.5,2078.0,21.0,505.0,0.0,11.894,11.248,11.894,11.894,78.853,89.559,89.765,89.798,89.817,0.522,0.008,-0.016,-0.04,32896.0,65280.0,64896.0,53.27,48.757,60.081,66.276,0.429,4150.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795683610.0,17.445,78.35,35.036,90.077,0.282,45.308,0.09,0.058,0.0,52.5,3.283,8.207,2.855,7.136,1.0
17,2021-09-16 18:11:00,1,1,0.0,31.04,36.799,937.848,55.832,49.115,70.272,562.0,10.0,2071.0,501.0,-0.032,-0.032,-0.032,65024.0,65024.0,65024.0,59.922,0.109,74.158,84.227,84.421,84.452,84.47,10.578,11.186,11.186,11.186,0.529,0.0,5168.0,0.0,99.0,4151.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-42.0,4.0,17.445,78.35,15.737,1631796083195.0,232508.0,232508.0,1631796083195.0,31.04,36.799,937.848,0.0,5168.0,562.0,2071.0,10.0,501.0,0.0,11.186,10.578,11.186,11.186,74.158,84.227,84.421,84.452,84.47,0.529,-0.032,-0.032,-0.032,65024.0,65024.0,65024.0,55.832,49.115,70.272,59.922,0.109,4151.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795730991.0,17.445,78.35,15.737,90.28,0.0,45.332,0.09,0.0,0.0,51.3,3.087,7.718,2.685,6.711,1.0
18,2021-09-16 18:12:00,1,1,0.0,31.05,35.454,937.876,55.215,50.234,63.622,569.333,1.0,2097.667,489.667,-0.005,-0.021,-0.043,43605.333,43349.333,43008.0,68.803,0.593,67.249,76.38,76.556,76.584,76.6,9.592,10.144,10.144,10.144,0.518,0.0,4529.0,0.0,98.667,4138.667,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-43.667,4.0,17.445,78.35,15.879,1631796151167.333,232512.333,232512.333,1631796151167.333,31.05,35.454,937.876,0.0,4529.0,569.333,2097.667,1.0,489.667,0.0,10.144,9.592,10.144,10.144,67.249,76.38,76.556,76.584,76.6,0.518,-0.005,-0.021,-0.043,43605.333,43349.333,43008.0,55.215,50.234,63.622,68.803,0.593,4138.667,98.667,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795920276.0,17.445,78.35,15.879,89.128,0.0,45.359,0.089,0.0,0.0,47.0,2.8,6.999,2.434,6.086,1.0
19,2021-09-16 18:13:00,1,1,0.0,31.03,35.56,937.842,57.795,49.257,71.521,565.0,0.0,2089.5,493.0,0.0,0.0,-0.064,32768.0,32768.0,64512.0,63.699,0.566,69.614,79.065,79.247,79.276,79.293,9.93,10.5,10.5,10.5,0.529,0.0,4576.5,0.0,99.0,4149.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-39.0,4.0,17.445,78.35,17.142,1631796216301.0,232517.0,232517.0,1631796216301.0,31.03,35.56,937.842,0.0,4576.5,565.0,2089.5,0.0,493.0,0.0,10.5,9.93,10.5,10.5,69.614,79.065,79.247,79.276,79.293,0.529,0.0,0.0,-0.064,32768.0,32768.0,64512.0,57.795,49.257,71.521,63.699,0.566,4149.5,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795864129.0,17.445,78.35,17.142,89.938,0.0,45.367,0.09,0.0,0.0,48.55,2.898,7.245,2.52,6.3,1.0
20,2021-09-16 18:14:00,1,1,0.0,31.04,35.468,937.897,53.83,48.853,65.961,564.5,0.0,2082.0,492.0,-0.008,-0.024,0.016,32640.0,65152.0,33024.0,65.733,0.624,76.569,86.965,87.165,87.197,87.216,10.922,11.549,11.549,11.549,0.514,0.0,4447.5,0.0,98.5,4144.5,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-39.5,4.0,17.445,78.35,17.142,1631796278496.0,232521.0,232521.0,1631796278496.0,31.04,35.468,937.897,0.0,4447.5,564.5,2082.0,0.0,492.0,0.0,11.549,10.922,11.549,11.549,76.569,86.965,87.165,87.197,87.216,0.514,-0.008,-0.024,0.016,32640.0,65152.0,33024.0,53.83,48.853,65.961,65.733,0.624,4144.5,98.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631795926322.5,17.445,78.35,17.142,89.984,0.0,45.364,0.09,0.0,0.0,51.75,3.188,7.969,2.772,6.93,1.0
22,2021-09-16 18:16:00,1,1,0.0,30.98,32.609,937.861,56.627,52.817,67.354,568.0,0.0,2087.0,476.0,0.032,-0.048,-0.048,512.0,64768.0,64768.0,71.213,0.525,69.152,78.54,78.721,78.75,78.767,9.864,10.431,10.431,10.431,0.521,0.0,3167.0,0.0,98.0,4121.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-43.0,4.0,17.445,78.35,17.142,1631796365330.0,232526.0,232526.0,1631796365330.0,30.98,32.609,937.861,0.0,3167.0,568.0,2087.0,0.0,476.0,0.0,10.431,9.864,10.431,10.431,69.152,78.54,78.721,78.75,78.767,0.521,0.032,-0.048,-0.048,512.0,64768.0,64768.0,56.627,52.817,67.354,71.213,0.525,4121.0,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631796377315.0,17.445,78.35,17.142,89.938,0.0,45.461,0.09,0.0,0.0,48.2,2.879,7.197,2.503,6.258,1.0
28,2021-09-16 18:22:00,1,1,6.24,30.92,33.719,937.939,54.594,52.02,59.552,568.0,0.0,2096.0,478.0,-0.016,-0.048,0.096,65280.0,64768.0,1536.0,71.275,0.921,59.622,67.716,67.872,67.897,67.912,8.504,8.993,8.993,8.993,0.505,0.0,2180.0,0.0,97.0,4119.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,,-43.0,4.0,17.445,78.35,17.142,1631796741218.0,232551.0,232551.0,1631796741218.0,30.92,33.719,937.939,0.0,2180.0,568.0,2096.0,0.0,478.0,0.0,8.993,8.504,8.993,8.993,59.622,67.716,67.872,67.897,67.912,0.505,-0.016,-0.048,0.096,65280.0,64768.0,1536.0,54.594,52.02,59.552,71.275,0.921,4119.0,97.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631796758257.0,17.445,78.35,17.142,90.115,0.0,45.464,0.09,0.0,0.0,41.7,2.482,6.205,2.158,5.396,1.0
30,2021-09-16 18:24:00,1,1,1.37,30.94,35.517,938.466,59.185,47.483,73.615,799.0,850.0,2738.0,739.0,-0.016,-0.032,-0.048,65280.0,65024.0,64768.0,63.886,0.616,1664.952,1891.0,1895.352,1896.05,1896.452,237.488,251.134,251.134,251.134,0.521,0.0,1572.0,0.0,97.0,4108.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-40.0,4.0,17.445,78.35,16.155,1631796891847.0,232560.0,232560.0,1631796891847.0,30.94,35.517,938.466,0.0,1572.0,799.0,2738.0,850.0,739.0,0.0,251.134,237.488,251.134,251.134,1664.952,1891.0,1895.352,1896.05,1896.452,0.521,-0.016,-0.032,-0.048,65280.0,65024.0,64768.0,59.185,47.483,73.615,63.886,0.616,4108.0,97.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631796903125.0,17.445,78.35,16.155,51.141,26.713,45.411,0.051,1.709,0.0,156.3,69.313,173.283,60.272,150.681,1.0
31,2021-09-16 18:25:00,1,1,0.0,30.97,35.655,938.081,47.8,47.225,48.144,792.0,814.0,2724.0,727.0,-0.032,0.032,0.0,65024.0,512.0,0.0,65.803,0.295,1540.295,1749.419,1753.445,1754.091,1754.463,219.707,232.332,232.332,232.332,0.479,0.0,1715.0,0.0,97.0,4113.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,1.0,0.0,2147483647.0,-40.0,4.0,17.445,78.35,15.58,1631796922654.0,232563.0,232563.0,1631796922654.0,30.97,35.655,938.081,0.0,1715.0,792.0,2724.0,814.0,727.0,0.0,232.332,219.707,232.332,232.332,1540.295,1749.419,1753.445,1754.091,1754.463,0.479,-0.032,0.032,0.0,65024.0,512.0,0.0,47.8,47.225,48.144,65.803,0.295,4113.0,97.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1631796933580.0,17.445,78.35,15.58,52.162,25.562,45.393,0.052,1.636,0.0,155.7,64.124,160.309,55.76,139.399,1.0
